GRANDRIF,63173,5297.4
JOB,63179,4389.5
LEMPDES,63193,549.0
LEMPTY,63194,1525.8
LUSSAT,63200,793.8
MARSAT,63212,1184.4
MAZAYE,63219,1928.9
MENETROL,63224,727.0
MOISSAT,63229,1422.5
MONS,63232,2552.3
MONTCEL,63235,1385.3
MORIAT,63242,2166.3
MOZAC,63245,1242.3
OLBY,63257,2027.9
ORLEAT,63265,1448.5
PERRIER,63275,1655.9
PIONSAT,63281,3818.6
PONTGIBAUD,63285,2126.6
SARDON,63406,1545.7
SAUVESSANGES,63412,6253.9
SAYAT,63417,1240.2
SERVANT,63419,3021.4
SUGERES,63423,2480.1
TREZIOUX,63438,2359.7
VALCIVIERES,63441,5176.8
VICHEL,63456,2171.9
VILLENEUVE,63458,2246.3
VINZELLES,63461,1754.4
ANTOINGT,63005,2082.0
ARTONNE,63012,1756.2
AUBIAT,63013,1701.5
AUGNAT,63017,2374.4
AULNAT,63019,369.5
AURIERES,63020,1826.3
BIOLLET,63041,3770.1
BLANZAT,63042,999.1
BRIFFONS,63053,3321.4
CEYSSAT,63071,1664.6
CHAPPES,63089,864.3
CHAPTUZAT,63090,1860.3
CHASTREIX,63098,4532.4
CHATELDON,63102,2577.7
CHAURIAT,63106,1397.6
GELLES,63163,2921.4
GRANDEYROLLES,63172,1817.0
GRANDVAL,63174,3977.2
LACHAUX,63184,2910.8
LANDOGNE,63186,3386.1
LASTIC,63191,3836.5
LEZOUX,63195,1276.2
MADRIAT,63202,2234.9
MARCILLAT,63208,2104.3
MEDEYROLLES,63221,5843.2
MONTFERMY,63238,2497.8
MONTPENSIER,63240,2154.7
NEBOUZAT,63248,1842.2
NOALHAT,63253,1871.8
NOVACELLES,63256,4495.0
OLLIERGUES,63258,3513.5
ORBEIL,63261,1634.1
PARDINES,63268,1590.3
PLAUZAT,63282,894.4
POUZOL,63286,2288.4
PULVERIERES,63290,2222.0
REIGNAT,63297,1584.5
SAUVAGNAT,63410,3894.5
SAUXILLANGES,63415,2246.1
SURAT,63424,1442.8
TRALAIGUES,63436,3609.4
VERRIERES,63452,1973.7
